Date : 2021-11-11 09:29:34
Directory : c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl
Total : 85 files,  4806 codes, 1099 comments, 1526 blanks, all 7431 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         75 |      4,493 |      1,037 |      1,479 |      7,009 |
| JSON       |          4 |        142 |          0 |          5 |        147 |
| Batch      |          1 |         76 |          0 |         25 |        101 |
| Groovy     |          2 |         73 |         27 |         12 |        112 |
| Python     |          1 |         16 |         34 |          3 |         53 |
| Properties |          2 |          6 |          1 |          2 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |         85 |      4,806 |      1,099 |      1,526 |      7,431 |
| .wpilib                                                                                                                |          1 |          6 |          0 |          4 |         10 |
| gradle                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| gradle\wrapper                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| src                                                                                                                    |         75 |      4,493 |      1,037 |      1,479 |      7,009 |
| src\main                                                                                                               |         75 |      4,493 |      1,037 |      1,479 |      7,009 |
| src\main\java                                                                                                          |         75 |      4,493 |      1,037 |      1,479 |      7,009 |
| src\main\java\frc                                                                                                      |         75 |      4,493 |      1,037 |      1,479 |      7,009 |
| src\main\java\frc\robot                                                                                                |         75 |      4,493 |      1,037 |      1,479 |      7,009 |
| src\main\java\frc\robot\commands                                                                                       |         53 |      2,467 |        540 |        838 |      3,845 |
| src\main\java\frc\robot\commands\auto                                                                                  |         50 |      2,276 |        434 |        794 |      3,504 |
| src\main\java\frc\robot\commands\auto\PickCommands                                                                     |          4 |        362 |        209 |        168 |        739 |
| src\main\java\frc\robot\commands\auto\Tasks                                                                            |         18 |        492 |         26 |        125 |        643 |
| src\main\java\frc\robot\commands\auto\Tasks\Task8                                                                      |          4 |         76 |          0 |         32 |        108 |
| src\main\java\frc\robot\commands\gamepad                                                                               |          2 |        141 |         65 |         27 |        233 |
| src\main\java\frc\robot\pathfinding                                                                                    |          5 |        351 |         22 |        100 |        473 |
| src\main\java\frc\robot\pathfinding\element                                                                            |          4 |        223 |         16 |         61 |        300 |
| src\main\java\frc\robot\subsystems                                                                                     |          5 |        682 |        278 |        237 |      1,197 |
| vendordeps                                                                                                             |          3 |        136 |          0 |          1 |        137 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                               | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\.gitattributes                                                      | Properties |          1 |          1 |          1 |          3 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\.wpilib\wpilib_preferences.json                                     | JSON       |          6 |          0 |          4 |         10 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\build.gradle                                                        | Groovy     |         47 |         27 |         10 |         84 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\gradle\wrapper\gradle-wrapper.properties                            | Properties |          5 |          0 |          1 |          6 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\gradlew.bat                                                         | Batch      |         76 |          0 |         25 |        101 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\robotconfig.py                                                      | Python     |         16 |         34 |          3 |         53 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\settings.gradle                                                     | Groovy     |         26 |          0 |          2 |         28 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\BoxPair.java                                | Java       |         20 |          5 |          6 |         31 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Constants.java                              | Java       |         32 |         27 |         12 |         71 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\DropPoint.java                              | Java       |        147 |         13 |         72 |        232 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Globals.java                                | Java       |         70 |          0 |         25 |         95 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Main.java                                   | Java       |          9 |         16 |          5 |         30 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Node.java                                   | Java       |         13 |          0 |          5 |         18 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\PathMap.java                                | Java       |        158 |          5 |         34 |        197 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\PathMap2.java                               | Java       |        177 |          7 |         34 |        218 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Pathfinder.java                             | Java       |        176 |         34 |         37 |        247 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Points.java                                 | Java       |         94 |          3 |         32 |        129 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\Robot.java                                  | Java       |         69 |         68 |         32 |        169 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\RobotContainer.java                         | Java       |         28 |         19 |         10 |         57 |
| c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\TeleCmd.java                       | Java       |         50 |         41 |         17 |        108 |
