"filename", "language", "Groovy", "Properties", "JSON", "Python", "Java", "Batch", "comment", "blank", "total"
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MoveArmXY.java", "Java", 0, 0, 0, 0, 87, 0, 39, 33, 159
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MovePose.java", "Java", 0, 0, 0, 0, 100, 0, 6, 31, 137
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MovePose2.java", "Java", 0, 0, 0, 0, 98, 0, 6, 35, 139
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MovePose3.java", "Java", 0, 0, 0, 0, 99, 0, 3, 36, 138
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MoveRobot.java", "Java", 0, 0, 0, 0, 70, 0, 35, 15, 120
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MoveRobotSense.java", "Java", 0, 0, 0, 0, 19, 0, 5, 8, 32
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\MoveRobotSense1.java", "Java", 0, 0, 0, 0, 38, 0, 6, 11, 55
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\Pick.java", "Java", 0, 0, 0, 0, 111, 0, 21, 33, 165
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\PickCommands\ArmPickX.java", "Java", 0, 0, 0, 0, 94, 0, 48, 48, 190
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\PickCommands\ArmPickY.java", "Java", 0, 0, 0, 0, 100, 0, 68, 54, 222
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\PickCommands\GripperPick.java", "Java", 0, 0, 0, 0, 89, 0, 49, 41, 179
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\PickCommands\RobotPick.java", "Java", 0, 0, 0, 0, 79, 0, 44, 25, 148
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\Reset.java", "Java", 0, 0, 0, 0, 20, 0, 0, 9, 29
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\SequenceOne.java", "Java", 0, 0, 0, 0, 41, 0, 0, 18, 59
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\SequenceTwo.java", "Java", 0, 0, 0, 0, 44, 0, 0, 15, 59
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\Tasks\MoveRobotSense2.java", "Java", 0, 0, 0, 0, 19, 0, 5, 8, 32
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\Tasks\OnlyKitkat.java", "Java", 0, 0, 0, 0, 54, 0, 21, 14, 89
"c:\Users\carlc\Desktop\WSS\WSS code\OmniDrive-Carl\src\main\java\frc\robot\commands\auto\Tasks\Task1.java", "Java", 0, 0, 0, 0, 14, 0, 0, 4, 18
